,y_act,y_pred_random_forest,y_pred_logistic,df_prec_ran,df_prec_loc
433,1,0.631575676,0.373645733,1,0
434,1,0.261400201,0.313397443,0,0
435,0,0.489657134,0.404888147,0,0
436,1,0.481679468,0.568683664,0,1
437,1,0.582651547,0.641470736,1,1
438,0,0.382330045,0.402898312,0,0
439,1,0.740479543,0.797802981,1,1
440,1,0.733689582,0.776689972,1,1
441,1,0.42336014,0.398239311,0,0
442,0,0.318563817,0.331500729,0,0
443,1,0.690332458,0.714670919,1,1
444,0,0.376808416,0.32529545,0,0
445,0,0.329793437,0.309962855,0,0
446,0,0.471858112,0.608103315,0,1
447,1,0.590015827,0.556062439,1,1
448,0,0.365854372,0.306445422,0,0
449,0,0.428535679,0.471424779,0,0
450,1,0.397650212,0.371161922,0,0
451,0,0.345947577,0.448006926,0,0
452,0,0.263364373,0.366132088,0,0
453,1,0.538386105,0.519215674,1,1
454,0,0.562409947,0.482504549,1,0
455,1,0.732749485,0.587563665,1,1
456,1,0.33715166,0.387013293,0,0
457,1,0.635610668,0.689053707,1,1
458,1,0.406075818,0.362660135,0,0
459,1,0.36955355,0.385693499,0,0
460,1,0.383567397,0.305699454,0,0
461,1,0.379680324,0.322139231,0,0
462,0,0.414816425,0.380329074,0,0
463,0,0.522354055,0.527213074,1,1
464,0,0.400785077,0.328388627,0,0
465,0,0.491199666,0.364067151,0,0
466,1,0.578755297,0.613678032,1,1
467,0,0.366626633,0.398030242,0,0
468,1,0.41868178,0.420130041,0,0
469,1,0.563000382,0.546970108,1,1
470,1,0.50179981,0.544013553,1,1
471,0,0.499711639,0.432429003,0,0
472,0,0.531458437,0.54044921,1,1
473,1,0.674018251,0.710200596,1,1
474,0,0.551586125,0.564138671,1,1
475,0,0.514954148,0.502860997,1,1
476,1,0.614354375,0.692428763,1,1
477,0,0.521547521,0.465009139,1,0
478,0,0.321768522,0.314921198,0,0
479,0,0.495419804,0.539083756,0,1
480,1,0.455845843,0.409343063,0,0
481,1,0.608848521,0.48322135,1,0
482,1,0.491976799,0.548586211,0,1
483,1,0.558340324,0.551388367,1,1
484,0,0.411802621,0.364764003,0,0
485,1,0.495856618,0.461608694,0,0
486,0,0.460900071,0.375533045,0,0
487,1,0.449160939,0.263661493,0,0
488,0,0.468434545,0.567060954,0,1
489,0,0.513222019,0.478547471,1,0
490,1,0.708322396,0.860837146,1,1
491,0,0.370063749,0.394258623,0,0
492,0,0.289681552,0.304829,0,0
493,0,0.508713979,0.436433595,1,0
494,1,0.621756199,0.514443558,1,1
495,1,0.469199533,0.455056027,0,0
496,1,0.645427029,0.612089742,1,1
497,1,0.533922387,0.495260005,1,0
498,0,0.409905157,0.381447941,0,0
499,1,0.47716381,0.472502629,0,0
500,0,0.368611197,0.43426706,0,0
501,1,0.595924885,0.690459714,1,1
502,1,0.457358157,0.390744368,0,0
503,1,0.647562265,0.777287396,1,1
504,0,0.492544091,0.413379811,0,0
505,0,0.379529701,0.380264698,0,0
506,1,0.490914255,0.387012217,0,0
507,0,0.368583469,0.410053033,0,0
508,1,0.467860595,0.459293237,0,0
509,0,0.65372753,0.541223751,1,1
510,0,0.311879755,0.288397697,0,0
511,1,0.417002135,0.402198603,0,0
512,1,0.488388645,0.459236603,0,0
513,0,0.500508895,0.467453187,1,0
514,1,0.617373819,0.639945246,1,1
515,1,0.481982449,0.515556495,0,1
516,0,0.538887242,0.529332245,1,1
517,0,0.480708857,0.433727675,0,0
518,0,0.463899391,0.460069081,0,0
519,0,0.557172035,0.550358575,1,1
520,0,0.564329053,0.536693873,1,1
521,1,0.553242536,0.409077515,1,0
522,1,0.564325764,0.526076894,1,1
523,1,0.415626601,0.384065855,0,0
524,1,0.634131662,0.61340933,1,1
525,0,0.519093109,0.540867716,1,1
526,0,0.425029858,0.39612464,0,0
527,0,0.460166678,0.491255524,0,0
528,1,0.401624722,0.394288553,0,0
529,0,0.419234567,0.423651583,0,0
530,0,0.454462077,0.479336165,0,0
531,0,0.409876368,0.372944117,0,0
532,1,0.508587629,0.388109885,1,0
533,1,0.67294515,0.690567329,1,1
534,1,0.450826147,0.418972962,0,0
535,0,0.471982935,0.438591425,0,0
536,1,0.35627949,0.31445777,0,0
537,1,0.535884266,0.376494251,1,0
538,0,0.424290228,0.52155854,0,1
539,1,0.5442632,0.585549992,1,1
540,0,0.486015174,0.428022073,0,0
541,0,0.400308042,0.399322316,0,0
542,0,0.478273344,0.399307203,0,0
543,1,0.676312628,0.681837118,1,1
544,1,0.501150911,0.424971945,1,0
545,1,0.56682473,0.643658887,1,1
546,0,0.580177475,0.681697743,1,1
547,0,0.402752898,0.392105376,0,0
548,1,0.617990961,0.635746037,1,1
549,0,0.496915212,0.464977825,0,0
550,0,0.376847122,0.311391935,0,0
551,0,0.457448153,0.75446951,0,1
552,1,0.534160042,0.576411221,1,1
553,1,0.586266444,0.508862814,1,1
554,0,0.434425965,0.400696815,0,0
555,1,0.498162129,0.490558756,0,0
556,0,0.411045096,0.482264892,0,0
557,0,0.39416306,0.340335024,0,0
558,1,0.491411418,0.539585667,0,1
559,0,0.49814832,0.515336753,0,1
560,0,0.468771742,0.544860973,0,1
561,0,0.3942768,0.290758397,0,0
562,0,0.455115146,0.421443168,0,0
563,1,0.59482281,0.65786475,1,1
564,1,0.608316,0.485455262,1,0
565,1,0.515781337,0.589458807,1,1
566,1,0.601259052,0.757357734,1,1
567,1,0.41059042,0.437045756,0,0
568,1,0.437544881,0.381266904,0,0
569,1,0.379556713,0.296290851,0,0
570,0,0.486732244,0.441927357,0,0
571,1,0.622283228,0.449300689,1,0
572,0,0.506705473,0.860634791,1,1
573,1,0.479120977,0.535962264,0,1
574,1,0.515176181,0.451033994,1,0
575,1,0.524151875,0.465295766,1,0
576,1,0.498129512,0.458849074,0,0
577,1,0.550661482,0.481812268,1,0
578,0,0.358013198,0.416154093,0,0
579,1,0.459078997,0.430536205,0,0
580,1,0.524757555,0.471225774,1,0
581,1,0.662699259,0.865456664,1,1
582,0,0.384087329,0.437515062,0,0
583,0,0.399236189,0.347516832,0,0
584,0,0.433194441,0.369107978,0,0
585,0,0.617412558,0.5343346,1,1
586,0,0.349116657,0.289959367,0,0
587,0,0.486590686,0.498276571,0,0
588,0,0.528922654,0.555368337,1,1
589,1,0.476367024,0.433330444,0,0
590,0,0.444064936,0.394860834,0,0
591,0,0.39711201,0.406489739,0,0
592,1,0.579320454,0.49338397,1,0
593,0,0.442527131,0.362805766,0,0
594,0,0.37518299,0.509409837,0,1
595,1,0.531883138,0.435689717,1,0
596,1,0.58006231,0.597053856,1,1
597,0,0.345936021,0.292485307,0,0
598,1,0.474867851,0.436853675,0,0
599,1,0.617498376,0.61865092,1,1
600,1,0.594445206,0.632039048,1,1
601,0,0.38649517,0.361918556,0,0
602,1,0.4563314,0.322603979,0,0
603,0,0.410154435,0.355660623,0,0
604,1,0.544863688,0.463777461,1,0
605,1,0.526289956,0.538289418,1,1
606,0,0.52578559,0.604500544,1,1
607,1,0.447667755,0.406680595,0,0
608,1,0.706872887,0.832626238,1,1
609,0,0.308618966,0.345049135,0,0
610,0,0.440472539,0.336196793,0,0
611,1,0.59890226,0.666958562,1,1
612,0,0.413936721,0.462060599,0,0
613,0,0.564168656,0.526081729,1,1
614,0,0.430718494,0.483867306,0,0
615,1,0.744962071,0.672142807,1,1
616,1,0.627851122,0.65886053,1,1
617,1,0.593674549,0.718293088,1,1
618,1,0.61362454,0.541318022,1,1
619,0,0.436237154,0.498834716,0,0
620,0,0.481212319,0.445203685,0,0
621,0,0.441195499,0.579847435,0,1
622,0,0.441532603,0.513740363,0,1
623,0,0.473906289,0.587870703,0,1
624,1,0.542550561,0.545488112,1,1
625,0,0.507188572,0.387971605,1,0
626,0,0.601751436,0.534777713,1,1
627,1,0.387895406,0.261414098,0,0
628,1,0.569989394,0.490007955,1,0
629,1,0.618808119,0.665852595,1,1
630,1,0.591997999,0.74845006,1,1
631,0,0.453895806,0.545066688,0,1
632,1,0.632359384,0.769479342,1,1
633,1,0.605732978,0.498870312,1,0
634,0,0.460036883,0.45053509,0,0
635,1,0.519114966,0.727352961,1,1
636,0,0.426010129,0.372275512,0,0
637,1,0.438457086,0.428197665,0,0
638,0,0.431470041,0.354946185,0,0
639,0,0.418628744,0.504463445,0,1
640,0,0.441239398,0.441064186,0,0
641,0,0.568784227,0.535475208,1,1
642,1,0.524192313,0.560065773,1,1
643,1,0.666254083,0.666791518,1,1
644,0,0.555632304,0.530603995,1,1
645,1,0.642667759,0.678741451,1,1
646,0,0.609939119,0.588373324,1,1
647,1,0.510054427,0.586419421,1,1
648,0,0.600528442,0.596927465,1,1
649,1,0.568271473,0.41697494,1,0
650,1,0.50406681,0.345504043,1,0
651,0,0.380416565,0.372330392,0,0
652,0,0.521160203,0.477698965,1,0
653,0,0.466450749,0.387413721,0,0
654,1,0.403446376,0.566212443,0,1
655,1,0.568945749,0.493222598,1,0
656,0,0.497688125,0.383866309,0,0
657,0,0.641766931,0.727071084,1,1
658,0,0.459991225,0.358787378,0,0
659,0,0.625915277,0.702810413,1,1
660,1,0.658152294,0.522710064,1,1
661,1,0.547620566,0.396395019,1,0
662,1,0.476236213,0.338869506,0,0
663,1,0.458834115,0.488333698,0,0
664,0,0.398936405,0.345112993,0,0
665,0,0.393257741,0.312811397,0,0
666,0,0.554294566,0.555937194,1,1
667,1,0.420549806,0.338709129,0,0
668,1,0.397545638,0.373380658,0,0
669,1,0.49215368,0.517109983,0,1
670,1,0.44240144,0.449338822,0,0
671,0,0.561231335,0.576630731,1,1
672,0,0.368486788,0.387565772,0,0
673,0,0.497034437,0.488030117,0,0
674,0,0.410449544,0.466935087,0,0
675,0,0.495794353,0.477449404,0,0
676,1,0.500018614,0.56159177,1,1
677,0,0.494332543,0.445058121,0,0
678,0,0.44840792,0.383823339,0,0
679,1,0.478260297,0.432622975,0,0
680,0,0.390861201,0.367641603,0,0
681,1,0.474306155,0.414239239,0,0
682,1,0.586101813,0.549086536,1,1
683,1,0.485917869,0.426927709,0,0
684,1,0.510835359,0.582898221,1,1
685,0,0.56489129,0.581348354,1,1
686,1,0.7031633,0.866696238,1,1
687,1,0.625030282,0.745291737,1,1
688,1,0.599765726,0.576357688,1,1
689,0,0.65162713,0.555400084,1,1
690,0,0.480241402,0.370170711,0,0
691,1,0.521736413,0.44992253,1,0
692,1,0.688891687,0.877086622,1,1
693,1,0.483032524,0.634146352,0,1
694,1,0.482421226,0.546375327,0,1
695,0,0.442484874,0.505568474,0,1
